X,Y,X_U,Y_U
3,0,0,0
3.1,0,0,0
3.2,0,0,0
3.3,0,0,0
3.4,0,0,0
3.5,0,0,0
3.6,0,0,0
3.7,0,0,0
3.8,0,0,0
3.9,0,0,0
4,15,0,0
4.1,8,0,0
4.2,5,0,0
4.3,5,0,0
4.4,4,0,0
4.5,4,0,0
4.6,7,0,0
4.7,6,0,0
4.8,4,0,0
4.9,3,0,0
5,3,0,0
5.1,5,0,0
5.2,4,0,0
5.3,4,0,0
5.4,3,0,0
5.5,3,0,0
5.6,2,0,0
5.7,3,0,0
5.8,4,0,0
5.9,3,0,0
6,4,0,0
6.1,6,0,0
6.2,4,0,0
6.3,4,0,0
6.4,5,0,0
6.5,3,0,0
6.6,7,0,0
6.7,4,0,0
6.8,2,0,0
6.9,3,0,0
7,3,0,0
7.1,3,0,0
7.2,4,0,0
7.3,3,0,0
7.4,3,0,0
7.5,3,0,0
7.6,4,0,0
7.7,4,0,0
7.8,3,0,0
7.9,3,0,0
8,3,0,0
8.1,3,0,0
8.2,1,0,0
8.3,3,0,0
8.4,3,0,0
8.5,4,0,0
8.6,7,0,0
8.7,17,0,0
8.8,15,0,0
8.9,25,0,0
9,24,0,0
9.1,28,0,0
9.2,29,0,0
9.3,36,0,0
9.4,37,0,0
9.5,36,0,0
9.6,34,0,0
9.7,44,0,0
9.8,46,0,0
9.9,44,0,0
10,52,0,0
10.1,43,0,0
10.2,51,0,0
10.3,56,0,0
10.4,56,0,0
10.5,53,0,0
10.6,53,0,0
10.7,52,0,0
10.8,55,0,0
10.9,47,0,0
11,44,0,0
11.1,51,0,0
11.2,51,0,0
11.3,51,0,0
11.4,52,0,0
11.5,48,0,0
11.6,43,0,0
11.7,46,0,0
11.8,45,0,0
11.9,54,0,0
12,52,0,0
12.1,47,0,0
12.2,43,0,0
12.3,51,0,0
12.4,46,0,0
12.5,52,0,0
12.6,54,0,0
12.7,51,0,0
12.8,47,0,0
12.9,51,0,0
13,49,0,0
13.1,47,0,0
13.2,43,0,0
13.3,48,0,0
13.4,39,0,0
13.5,45,0,0
13.6,47,0,0
13.7,49,0,0
13.8,46,0,0
13.9,38,0,0
14,47,0,0
14.1,39,0,0
14.2,42,0,0
14.3,38,0,0
14.4,47,0,0
14.5,49,0,0
14.6,46,0,0
14.7,55,0,0
14.8,42,0,0
14.9,47,0,0
15,37,0,0
15.1,52,0,0
15.2,40,0,0
15.3,45,0,0
15.4,33,0,0
15.5,49,0,0
15.6,41,0,0
15.7,30,0,0
15.8,35,0,0
15.9,40,0,0
16,29,0,0
16.1,37,0,0
16.2,31,0,0
16.3,34,0,0
16.4,49,0,0
16.5,49,0,0
16.6,25,0,0
16.7,35,0,0
16.8,30,0,0
16.9,29,0,0
17,24,0,0
17.1,24,0,0
17.2,31,0,0
17.3,26,0,0
17.4,27,0,0
17.5,24,0,0
17.6,26,0,0
17.7,23,0,0
17.8,22,0,0
17.9,21,0,0
18,21,0,0
18.1,19,0,0
18.2,23,0,0
18.3,22,0,0
18.4,20,0,0
18.5,24,0,0
18.6,23,0,0
18.7,14,0,0
18.8,16,0,0
18.9,12,0,0
19,18,0,0
19.1,19,0,0
19.2,17,0,0
19.3,19,0,0
19.4,20,0,0
19.5,17,0,0
19.6,16,0,0
19.7,15,0,0
19.8,15,0,0
19.9,16,0,0
20,11,0,
