X,Y,X_U,Y_U
3,106,0,0
3.1,88,0,0
3.2,66,0,0
3.3,65,0,0
3.4,53,0,0
3.5,49,0,0
3.6,45,0,0
3.7,41,0,0
3.8,29,0,0
3.9,33,0,0
4,32,0,0
4.1,28,0,0
4.2,26,0,0
4.3,23,0,0
4.4,32,0,0
4.5,35,0,0
4.6,34,0,0
4.7,39,0,0
4.8,42,0,0
4.9,42,0,0
5,56,0,0
5.1,58,0,0
5.2,47,0,0
5.3,55,0,0
5.4,51,0,0
5.5,51,0,0
5.6,53,0,0
5.7,50,0,0
5.8,55,0,0
5.9,47,0,0
6,38,0,0
6.1,46,0,0
6.2,43,0,0
6.3,46,0,0
6.4,59,0,0
6.5,72,0,0
6.6,58,0,0
6.7,61,0,0
6.8,68,0,0
6.9,70,0,0
7,64,0,0
7.1,93,0,0
7.2,150,0,0
7.3,392,0,0
7.4,164,0,0
7.5,69,0,0
7.6,84,0,0
7.7,77,0,0
7.8,82,0,0
7.9,99,0,0
8,87,0,0
8.1,110,0,0
8.2,110,0,0
8.3,108,0,0
8.4,116,0,0
8.5,112,0,0
8.6,110,0,0
8.7,122,0,0
8.8,125,0,0
8.9,132,0,0
9,144,0,0
9.1,133,0,0
9.2,154,0,0
9.3,160,0,0
9.4,135,0,0
9.5,133,0,0
9.6,133,0,0
9.7,131,0,0
9.8,127,0,0
9.9,157,0,0
10,150,0,0
10.1,156,0,0
10.2,147,0,0
10.3,156,0,0
10.4,160,0,0
10.5,159,0,0
10.6,151,0,0
10.7,159,0,0
10.8,181,0,0
10.9,172,0,0
11,170,0,0
11.1,155,0,0
11.2,158,0,0
11.3,146,0,0
11.4,166,0,0
11.5,178,0,0
11.6,162,0,0
11.7,145,0,0
11.8,143,0,0
11.9,153,0,0
12,128,0,0
12.1,159,0,0
12.2,152,0,0
12.3,146,0,0
12.4,137,0,0
12.5,141,0,0
12.6,130,0,0
12.7,149,0,0
12.8,159,0,0
12.9,190,0,0
13,203,0,0
13.1,162,0,0
13.2,164,0,0
13.3,147,0,0
13.4,151,0,0
13.5,148,0,0
13.6,134,0,0
13.7,145,0,0
13.8,129,0,0
13.9,127,0,0
14,119,0,0
14.1,120,0,0
14.2,129,0,0
14.3,117,0,0
14.4,134,0,0
14.5,224,0,0
14.6,431,0,0
14.7,344,0,0
14.8,146,0,0
14.9,109,0,0
15,115,0,0
15.1,114,0,0
15.2,136,0,0
15.3,107,0,0
15.4,103,0,0
15.5,92,0,0
15.6,81,0,0
15.7,87,0,0
15.8,104,0,0
15.9,104,0,0
16,96,0,0
16.1,87,0,0
16.2,86,0,0
16.3,73,0,0
16.4,77,0,0
16.5,72,0,0
16.6,71,0,0
16.7,62,0,0
16.8,78,0,0
16.9,65,0,0
17,69,0,0
17.1,69,0,0
17.2,72,0,0
17.3,70,0,0
17.4,59,0,0
17.5,55,0,0
17.6,58,0,0
17.7,63,0,0
17.8,58,0,0
17.9,60,0,0
18,64,0,0
18.1,53,0,0
18.2,56,0,0
18.3,53,0,0
18.4,53,0,0
18.5,43,0,0
18.6,48,0,0
18.7,46,0,0
18.8,51,0,0
18.9,53,0,0
19,59,0,0
19.1,42,0,0
19.2,40,0,0
19.3,42,0,0
19.4,40,0,0
19.5,50,0,0
19.6,49,0,0
19.7,58,0,0
19.8,36,0,0
19.9,33,0,0
20,40,0,
,,,
