X-ray (ID 01) / Crystal angle ?_c	X-ray (ID 01) / Impulse Imp
?_c/°	Imp/# / s

0.0	12577
0.1	12540
0.2	12548
0.3	12544
0.4	12511
0.5	12401
0.6	11744
0.7	9829
0.8	7444
0.9	4836
1.0	4025
1.1	4980
1.2	7299
1.3	8752
1.4	9095
1.5	8765
1.6	8088
1.7	6944
1.8	4787
1.9	3311
2.0	2203
2.1	1416
2.2	905
2.3	550
2.4	310
2.5	227
2.6	200
2.7	182
2.8	166
2.9	147
3.0	138
3.1	128
3.2	121
3.3	110
3.4	91
3.5	79
3.6	67
3.7	59
3.8	50
3.9	44
4.0	39
4.1	35
4.2	32
4.3	31
4.4	32
4.5	31
4.6	32
4.7	33
4.8	34
4.9	36
5.0	31
5.1	33
5.2	35
5.3	36
5.4	38
5.5	47
5.6	50
5.7	52
5.8	50
5.9	55
6.0	60
6.1	62
6.2	64
6.3	65
6.4	68
6.5	67
6.6	67
6.7	76
6.8	76
6.9	77
7.0	76
7.1	79
7.2	76
7.3	85
7.4	81
7.5	80
7.6	82
7.7	91
7.8	91
7.9	93
8.0	92
8.1	95
8.2	92
8.3	95
8.4	97
8.5	103
8.6	99
8.7	97
8.8	96
8.9	100
9.0	103
9.1	104
9.2	107
9.3	104
9.4	106
9.5	106
9.6	105
9.7	107
9.8	103
9.9	99
10.0	104
10.1	99
10.2	98
10.3	103
10.4	96
10.5	103
10.6	101
10.7	98
10.8	94
10.9	97
11.0	98
11.1	101
11.2	99
11.3	98
11.4	101
11.5	99
11.6	96
11.7	95
11.8	94
11.9	94
12.0	97
12.1	95
12.2	91
12.3	90
12.4	89
12.5	92
12.6	90
12.7	86
12.8	88
12.9	82
13.0	88
13.1	85
13.2	78
13.3	75
13.4	76
13.5	76
13.6	72
13.7	73
13.8	74
13.9	75
14.0	69
14.1	70
14.2	70
14.3	66
14.4	66
14.5	62
14.6	67
14.7	63
14.8	68
14.9	63
15.0	59
15.1	63
15.2	61
15.3	62
15.4	59
15.5	65
15.6	61
15.7	63
15.8	60
15.9	57
16.0	52
16.1	55
16.2	53
16.3	53
16.4	52
16.5	51
16.6	52
16.7	48
16.8	49
16.9	47
17.0	46
17.1	41
17.2	47
17.3	44
17.4	42
17.5	41
17.6	40
17.7	43
17.8	44
17.9	39
18.0	37
18.1	43
18.2	39
18.3	37
18.4	35
18.5	37
18.6	38
18.7	40
18.8	37
18.9	39
19.0	43
19.1	35
19.2	36
19.3	36
19.4	35
19.5	39
19.6	40
19.7	46
19.8	57
19.9	74
20.0	105
20.1	166
20.2	326
20.3	524
20.4	454
20.5	227
20.6	103
20.7	67
20.8	53
20.9	48
21.0	45
21.1	44
21.2	45
21.3	40
21.4	40
21.5	37
21.6	43
21.7	49
21.8	56
21.9	72
22.0	107
22.1	163
22.2	237
22.3	355
22.4	599
22.5	1179
22.6	1832
22.7	1710
22.8	971
22.9	337
23.0	136
23.1	63
23.2	41
23.3	33
23.4	30
23.5	31
23.6	27
23.7	29
23.8	27
23.9	26
24.0	24
24.1	25
24.2	28
24.3	22
24.4	25
24.5	25
24.6	24
24.7	22
24.8	22
24.9	21
25.0	20
