X-ray (ID 01) / Crystal angle ?_c	X-ray (ID 01) / Impulse Imp
?_c/°	Imp/# / s

0.0	12907
0.1	12735
0.2	12699
0.3	12711
0.4	12719
0.5	12752
0.6	12749
0.7	12749
0.8	12710
0.9	12644
1.0	12509
1.1	11888
1.2	10601
1.3	9940
1.4	9963
1.5	10191
1.6	10316
1.7	10229
1.8	10027
1.9	9539
2.0	8842
2.1	7824
2.2	6386
2.3	4287
2.4	2997
2.5	2094
2.6	1421
2.7	943
2.8	559
2.9	388
3.0	278
3.1	266
3.2	215
3.3	209
3.4	168
3.5	143
3.6	119
3.7	108
3.8	79
3.9	78
4.0	65
4.1	61
4.2	47
4.3	59
4.4	41
4.5	46
4.6	45
4.7	50
4.8	42
4.9	48
5.0	45
5.1	38
5.2	46
5.3	49
5.4	48
5.5	55
5.6	67
5.7	67
5.8	66
5.9	74
6.0	68
6.1	72
6.2	71
6.3	72
6.4	73
6.5	66
6.6	81
6.7	72
6.8	73
6.9	71
7.0	86
7.1	86
7.2	82
7.3	90
7.4	86
7.5	76
7.6	86
7.7	88
7.8	85
7.9	87
8.0	89
8.1	96
8.2	97
8.3	88
8.4	87
8.5	91
8.6	88
8.7	103
8.8	115
8.9	99
9.0	91
9.1	100
9.2	92
9.3	98
9.4	101
9.5	89
9.6	102
9.7	102
9.8	99
9.9	101
10.0	113
10.1	111
10.2	91
10.3	97
10.4	109
10.5	113
10.6	115
10.7	104
10.8	88
10.9	110
11.0	94
11.1	97
11.2	88
11.3	93
11.4	98
11.5	104
11.6	109
11.7	99
11.8	94
11.9	118
12.0	104
12.1	104
12.2	96
12.3	100
12.4	99
12.5	85
12.6	91
12.7	92
12.8	100
12.9	85
13.0	89
13.1	92
13.2	86
13.3	79
13.4	88
13.5	85
13.6	79
13.7	83
13.8	68
13.9	83
14.0	70
14.1	76
14.2	78
14.3	63
14.4	64
14.5	86
14.6	69
14.7	68
14.8	75
14.9	69
15.0	56
15.1	67
15.2	66
15.3	74
15.4	65
15.5	59
15.6	66
15.7	68
15.8	59
15.9	65
16.0	67
16.1	52
16.2	56
16.3	57
16.4	57
16.5	57
16.6	50
16.7	60
16.8	52
16.9	57
17.0	57
17.1	62
17.2	58
17.3	52
17.4	57
17.5	41
17.6	48
17.7	51
17.8	46
17.9	45
18.0	46
18.1	54
18.2	45
18.3	45
18.4	50
18.5	39
18.6	50
18.7	37
18.8	45
18.9	44
19.0	45
19.1	41
19.2	39
19.3	43
19.4	53
19.5	52
19.6	48
19.7	56
19.8	57
19.9	74
20.0	78
20.1	112
20.2	161
20.3	321
20.4	507
20.5	445
20.6	230
20.7	108
20.8	72
20.9	52
21.0	58
21.1	55
21.2	51
21.3	47
21.4	38
21.5	45
21.6	49
21.7	57
21.8	82
21.9	96
22.0	127
22.1	158
22.2	204
22.3	258
22.4	350
22.5	624
22.6	1145
22.7	1707
22.8	1600
22.9	899
23.0	391
23.1	142
23.2	65
23.3	44
23.4	40
23.5	28
23.6	28
23.7	34
23.8	30
23.9	32
24.0	23
24.1	27
24.2	26
24.3	35
24.4	24
24.5	25
24.6	28
24.7	31
24.8	31
24.9	28
25.0	21
25.1	28
25.2	23
25.3	27
25.4	26
25.5	23
25.6	19
25.7	15
25.8	20
25.9	18
26.0	26
26.1	17
26.2	19
26.3	19
26.4	21
26.5	21
26.6	19
26.7	19
26.8	20
26.9	19
27.0	20
27.1	24
27.2	14
27.3	15
27.4	15
27.5	17
27.6	15
27.7	12
27.8	16
27.9	23
28.0	10
28.1	14
28.2	15
28.3	11
28.4	17
28.5	12
28.6	18
28.7	10
28.8	12
28.9	10
29.0	15
29.1	10
29.2	10
29.3	11
29.4	12
29.5	12
29.6	11
29.7	9
29.8	14
29.9	14
30.0	12
