X-ray (ID 01) / Crystal angle ?_c	X-ray (ID 01) / Impulse Imp
?_c/°	Imp/# / s

0.0	12738
0.1	12820
0.2	12738
0.3	12662
0.4	12639
0.5	12645
0.6	12679
0.7	12690
0.8	12720
0.9	12731
1.0	12702
1.1	12641
1.2	12474
1.3	11675
1.4	10005
1.5	8426
1.6	8233
1.7	9314
1.8	10008
1.9	10077
2.0	9844
2.1	9399
2.2	8652
2.3	7641
2.4	6004
2.5	4107
2.6	2868
2.7	2010
2.8	1373
2.9	872
3.0	503
3.1	319
3.2	242
3.3	215
3.4	189
3.5	165
3.6	155
3.7	151
3.8	149
3.9	165
4.0	157
4.1	163
4.2	162
4.3	169
4.4	173
4.5	180
4.6	188
4.7	183
4.8	195
4.9	199
5.0	192
5.1	194
5.2	196
5.3	197
5.4	199
5.5	206
5.6	187
5.7	195
5.8	192
5.9	203
6.0	194
6.1	204
6.2	201
6.3	203
6.4	206
6.5	198
6.6	197
6.7	202
6.8	211
6.9	201
7.0	199
7.1	201
7.2	200
7.3	206
7.4	199
7.5	210
7.6	206
7.7	215
7.8	215
7.9	218
8.0	207
8.1	210
8.2	215
8.3	217
8.4	219
8.5	209
8.6	217
8.7	219
8.8	214
8.9	213
9.0	217
9.1	214
9.2	213
9.3	207
9.4	201
9.5	191
9.6	180
9.7	181
9.8	188
9.9	177
10.0	174
10.1	175
10.2	173
10.3	166
10.4	168
10.5	165
10.6	160
10.7	162
10.8	159
10.9	152
11.0	161
11.1	154
11.2	148
11.3	150
11.4	148
11.5	147
11.6	149
11.7	147
11.8	144
11.9	141
12.0	137
12.1	127
12.2	134
12.3	134
12.4	125
12.5	130
12.6	125
12.7	125
12.8	123
12.9	119
13.0	115
13.1	114
13.2	125
13.3	124
13.4	119
13.5	118
13.6	113
13.7	112
13.8	118
13.9	119
14.0	124
14.1	170
14.2	505
14.3	1729
14.4	1284
14.5	338
14.6	209
14.7	179
14.8	158
14.9	141
15.0	144
15.1	141
15.2	144
15.3	145
15.4	163
15.5	177
15.6	247
15.7	626
15.8	2934
15.9	7068
16.0	3880
16.1	717
16.2	289
16.3	181
16.4	142
16.5	113
16.6	104
16.7	97
16.8	92
16.9	92
17.0	90
17.1	91
17.2	97
17.3	82
17.4	78
17.5	73
17.6	74
17.7	70
17.8	69
17.9	74
18.0	68
18.1	70
18.2	67
18.3	63
18.4	62
18.5	58
18.6	65
18.7	60
18.8	57
18.9	57
19.0	58
19.1	55
19.2	50
19.3	49
19.4	50
19.5	45
19.6	49
19.7	45
19.8	41
19.9	45
20.0	43
