X-ray (ID 01) / Crystal angle ?_c	X-ray (ID 01) / Impulse Imp
?_c/°	Imp/# / s

0.0	9215
0.1	6622
0.2	4815
0.3	4745
0.4	5516
0.5	6846
0.6	8360
0.7	10006
0.8	10842
0.9	10731
1.0	10160
1.1	9040
1.2	7154
1.3	4188
1.4	2426
1.5	1257
1.6	840
1.7	658
1.8	497
1.9	366
2.0	333
2.1	299
2.2	249
2.3	226
2.4	223
2.5	208
2.6	167
2.7	145
2.8	135
2.9	130
3.0	109
3.1	99
3.2	96
3.3	91
3.4	81
3.5	85
3.6	79
3.7	71
3.8	76
3.9	76
4.0	74
4.1	69
4.2	74
4.3	80
4.4	89
4.5	101
4.6	105
4.7	86
4.8	71
4.9	74
5.0	77
5.1	154
5.2	226
5.3	209
5.4	140
5.5	93
5.6	103
5.7	104
5.8	110
5.9	117
6.0	116
6.1	121
6.2	126
6.3	119
6.4	114
6.5	133
6.6	131
6.7	127
6.8	121
6.9	122
7.0	117
7.1	119
7.2	116
7.3	124
7.4	117
7.5	116
7.6	120
7.7	116
7.8	109
7.9	120
8.0	115
8.1	116
8.2	111
8.3	104
8.4	108
8.5	103
8.6	109
8.7	109
8.8	114
8.9	112
9.0	101
9.1	108
9.2	101
9.3	99
9.4	104
9.5	94
9.6	97
9.7	93
9.8	100
9.9	123
10.0	152
10.1	265
10.2	252
10.3	170
10.4	107
10.5	96
10.6	103
10.7	98
10.8	100
10.9	95
11.0	100
11.1	90
11.2	100
11.3	120
11.4	259
11.5	788
11.6	926
11.7	507
11.8	146
11.9	103
12.0	93
12.1	94
12.2	97
12.3	81
12.4	84
12.5	86
12.6	90
12.7	87
12.8	76
12.9	86
13.0	88
13.1	83
13.2	81
13.3	84
13.4	84
13.5	78
13.6	83
13.7	80
13.8	76
13.9	70
14.0	79
14.1	79
14.2	74
14.3	76
14.4	78
14.5	75
14.6	73
14.7	71
14.8	72
14.9	67
15.0	67
