X-ray (ID 01) / Crystal angle ?_c	X-ray (ID 01) / Impulse Imp
?_c/°	Imp/# / s

0.0	8146
0.1	12549
0.2	12644
0.3	12668
0.4	12604
0.5	12616
0.6	12606
0.7	12643
0.8	12571
0.9	12554
1.0	12450
1.1	12295
1.2	10688
1.3	7904
1.4	6317
1.5	6432
1.6	7201
1.7	8422
1.8	9878
1.9	10966
2.0	11001
2.1	10630
2.2	9935
2.3	8789
2.4	7063
2.5	4151
2.6	2349
2.7	1250
2.8	791
2.9	623
3.0	461
3.1	387
3.2	340
3.3	276
3.4	253
3.5	226
3.6	205
3.7	172
3.8	129
3.9	114
4.0	94
4.1	105
4.2	79
4.3	80
4.4	59
4.5	53
4.6	46
4.7	45
4.8	49
4.9	45
5.0	56
5.1	54
5.2	70
5.3	78
5.4	117
5.5	119
5.6	148
5.7	171
5.8	187
5.9	193
6.0	202
6.1	233
6.2	229
6.3	253
6.4	263
6.5	255
6.6	278
6.7	269
6.8	294
6.9	295
7.0	293
7.1	304
7.2	291
7.3	308
7.4	314
7.5	329
7.6	311
7.7	302
7.8	333
7.9	330
8.0	331
8.1	338
8.2	347
8.3	349
8.4	361
8.5	365
8.6	324
8.7	331
8.8	402
8.9	498
9.0	718
9.1	950
9.2	932
9.3	654
9.4	516
9.5	398
9.6	428
9.7	414
9.8	409
9.9	493
10.0	734
10.1	1264
10.2	2633
10.3	3398
10.4	2262
10.5	1350
10.6	633
10.7	471
10.8	430
10.9	421
11.0	462
11.1	436
11.2	410
11.3	456
11.4	443
11.5	463
11.6	429
11.7	457
11.8	443
11.9	437
12.0	423
12.1	409
12.2	498
12.3	462
12.4	445
12.5	473
12.6	415
12.7	466
12.8	420
12.9	437
13.0	455
13.1	441
13.2	476
13.3	417
13.4	427
13.5	363
13.6	400
13.7	362
13.8	387
13.9	396
14.0	388
14.1	367
14.2	377
14.3	350
14.4	367
14.5	336
14.6	348
14.7	342
14.8	341
14.9	352
15.0	356
15.1	360
15.2	340
15.3	350
15.4	341
15.5	344
15.6	344
15.7	340
15.8	319
15.9	336
16.0	330
16.1	318
16.2	317
16.3	327
16.4	323
16.5	312
16.6	289
16.7	281
16.8	277
16.9	285
17.0	304
17.1	299
17.2	295
17.3	253
17.4	277
17.5	258
17.6	293
17.7	266
17.8	233
17.9	248
18.0	256
18.1	277
18.2	271
18.3	275
18.4	345
18.5	324
18.6	265
18.7	293
18.8	271
18.9	262
19.0	289
19.1	243
19.2	270
19.3	256
19.4	247
19.5	244
19.6	251
19.7	256
19.8	225
19.9	245
20.0	220
20.1	227
20.2	211
20.3	220
20.4	207
20.5	232
20.6	378
20.7	583
20.8	608
20.9	523
21.0	324
21.1	249
21.2	189
21.3	202
21.4	186
21.5	189
21.6	213
21.7	234
21.8	200
21.9	179
22.0	174
22.1	162
22.2	146
22.3	147
22.4	151
22.5	174
22.6	169
22.7	152
22.8	129
22.9	125
23.0	162
23.1	117
23.2	119
23.3	114
23.4	115
23.5	113
23.6	111
23.7	109
23.8	93
23.9	102
24.0	114
24.1	116
24.2	96
24.3	107
24.4	107
24.5	98
24.6	96
24.7	82
24.8	88
24.9	115
25.0	82
25.1	80
25.2	86
25.3	89
25.4	83
25.5	90
25.6	76
25.7	67
25.8	78
25.9	75
26.0	64
26.1	65
26.2	69
26.3	60
26.4	66
26.5	67
26.6	52
26.7	74
26.8	64
26.9	65
