X-ray (ID 01) / Crystal angle ?_c	X-ray (ID 01) / Impulse Imp
?_c/°	Imp/# / s

0.2	4751
0.8	10779
1.1	8965
1.6	840
1.9	374
2.1	282
2.4	228
2.7	143
3.0	115
3.4	79
3.7	75
4.2	74
5.4	133
5.7	101
5.9	119
6.1	114
6.6	120
7.1	122
7.8	115
8.8	87
9.1	108
9.6	85
11.1	98
11.4	255
11.6	919
12.1	95
12.5	95
12.8	74
13.1	77
13.9	78
15.0	65
15.9	64
16.4	55
16.7	57
17.3	57
17.6	56
17.9	54
18.5	53
18.6	44
19.0	38
19.8	43
20.3	39
20.6	28
20.9	27
21.1	32
21.8	55
22.0	32
22.1	27
22.5	26
22.8	27
23.2	36
23.7	29
23.9	18
24.1	28
24.5	28
25.1	31
25.3	25
25.8	28
26.0	19
27.0	21
27.4	19
27.7	16
28.2	15
28.4	19
28.7	12
29.0	13
29.7	14
29.9	14
