X-ray (ID 01) / Crystal angle ?_c	X-ray (ID 01) / Impulse Imp
?_c/°	Imp/# / s

0.0	3307
0.1	7285
0.2	11625
0.3	12487
0.4	12541
0.5	12552
0.6	12548
0.7	12533
0.8	12524
0.9	12515
1.0	12504
1.1	12481
1.2	12461
1.3	12395
1.4	11929
1.5	9855
1.6	7405
1.7	6486
1.8	7172
1.9	8655
2.0	10405
2.1	11236
2.2	11407
2.3	11391
2.4	11114
2.5	10525
2.6	9472
2.7	7804
2.8	4934
2.9	2879
3.0	1602
3.1	1015
3.2	819
3.3	590
3.4	474
3.5	389
3.6	334
3.7	307
3.8	276
3.9	227
4.0	199
4.1	176
4.2	142
4.3	122
4.4	116
4.5	101
4.6	95
4.7	79
4.8	79
4.9	74
5.0	75
5.1	81
5.2	84
5.3	83
5.4	99
5.5	97
5.6	104
5.7	110
5.8	107
5.9	109
6.0	103
6.1	109
6.2	106
6.3	123
6.4	112
6.5	113
6.6	110
6.7	118
6.8	119
6.9	119
7.0	115
7.1	120
7.2	117
7.3	124
7.4	124
7.5	121
7.6	118
7.7	121
7.8	115
7.9	125
8.0	123
8.1	114
8.2	119
8.3	125
8.4	125
8.5	120
8.6	115
8.7	125
8.8	120
8.9	127
9.0	182
9.1	261
9.2	306
9.3	185
9.4	156
9.5	150
9.6	146
9.7	141
9.8	139
9.9	141
10.0	140
10.1	163
10.2	497
10.3	1212
10.4	869
10.5	354
10.6	216
10.7	170
10.8	154
10.9	155
11.0	147
11.1	142
11.2	137
11.3	139
11.4	149
11.5	143
11.6	137
11.7	138
11.8	137
11.9	137
12.0	122
12.1	131
12.2	144
12.3	142
12.4	139
12.5	128
12.6	129
12.7	135
12.8	134
12.9	131
13.0	133
13.1	126
13.2	128
13.3	134
13.4	118
13.5	117
13.6	114
13.7	107
13.8	105
13.9	111
14.0	106
14.1	101
14.2	98
14.3	111
14.4	99
14.5	105
14.6	97
14.7	99
14.8	104
14.9	107
15.0	106
