X-ray (ID 01) / Crystal angle ?_c	X-ray (ID 01) / Impulse Imp
?_c/°	Imp/# / s

19.0	143
19.1	144
19.2	141
19.3	141
19.4	136
19.5	141
19.6	134
19.7	131
19.8	148
19.9	192
20.0	323
20.1	733
20.2	1973
20.3	2466
20.4	1893
20.5	871
20.6	608
20.7	353
20.8	246
20.9	208
21.0	194
21.1	185
21.2	180
21.3	177
21.4	174
21.5	175
21.6	180
21.7	174
21.8	177
21.9	176
22.0	200
22.1	294
22.2	498
22.3	1074
22.4	2558
22.5	7434
22.6	8473
22.7	6398
22.8	3073
22.9	1620
23.0	728
23.1	316
23.2	177
23.3	142
23.4	136
23.5	119
23.6	121
23.7	118
23.8	112
23.9	107
24.0	103
24.1	98
24.2	98
24.3	101
24.4	105
24.5	97
24.6	92
24.7	83
24.8	79
24.9	77
25.0	80
