X,Y,X_U,Y_U
E_A#6 / keV,N_A#6,,
-214.5,0,0,0
-210.9,0,0,0
-207.3,1,0,0
-203.7,60,0,0
-200.1,197,0,0
-196.5,250,0,0
-192.8,271,0,0
-189.2,319,0,0
-185.6,304,0,0
-182,288,0,0
-178.4,298,0,0
-174.8,345,0,0
-171.2,378,0,0
-167.6,410,0,0
-164,378,0,0
-160.4,436,0,0
-156.8,430,0,0
-153.2,397,0,0
-149.6,408,0,0
-146,418,0,0
-142.4,454,0,0
-138.8,413,0,0
-135.2,475,0,0
-131.6,483,0,0
-127.9,463,0,0
-124.3,558,0,0
-120.7,575,0,0
-117.1,639,0,0
-113.5,695,0,0
-109.9,675,0,0
-106.3,596,0,0
-102.7,654,0,0
-99.1,601,0,0
-95.5,560,0,0
-91.9,564,0,0
-88.3,529,0,0
-84.7,553,0,0
-81.1,577,0,0
-77.5,579,0,0
-73.9,585,0,0
-70.3,568,0,0
-66.7,624,0,0
-63,595,0,0
-59.4,613,0,0
-55.8,583,0,0
-52.2,620,0,0
-48.6,666,0,0
-45,660,0,0
-41.4,712,0,0
-37.8,616,0,0
-34.2,660,0,0
-30.6,689,0,0
-27,702,0,0
-23.4,657,0,0
-19.8,740,0,0
-16.2,685,0,0
-12.6,738,0,0
-9,665,0,0
-5.4,694,0,0
-1.8,706,0,0
1.9,672,0,0
5.5,664,0,0
9.1,711,0,0
12.7,703,0,0
16.3,648,0,0
19.9,727,0,0
23.5,753,0,0
27.1,751,0,0
30.7,810,0,0
34.3,795,0,0
37.9,757,0,0
41.5,880,0,0
45.1,860,0,0
48.7,864,0,0
52.3,921,0,0
55.9,867,0,0
59.5,882,0,0
63.1,818,0,0
66.8,854,0,0
70.4,816,0,0
74,790,0,0
77.6,755,0,0
81.2,774,0,0
84.8,711,0,0
88.4,685,0,0
92,640,0,0
95.6,758,0,0
99.2,639,0,0
102.8,679,0,0
106.4,671,0,0
110,628,0,0
113.6,611,0,0
117.2,633,0,0
120.8,615,0,0
124.4,592,0,0
128,598,0,0
131.7,593,0,0
135.3,575,0,0
138.9,625,0,0
142.5,586,0,0
146.1,547,0,0
149.7,600,0,0
153.3,585,0,0
156.9,584,0,0
160.5,581,0,0
164.1,553,0,0
167.7,627,0,0
171.3,534,0,0
174.9,561,0,0
178.5,547,0,0
182.1,565,0,0
185.7,568,0,0
189.3,531,0,0
192.9,567,0,0
196.5,513,0,0
200.2,548,0,0
203.8,530,0,0
207.4,510,0,0
211,490,0,0
214.6,498,0,0
218.2,517,0,0
221.8,487,0,0
225.4,517,0,0
229,516,0,0
232.6,488,0,0
236.2,507,0,0
239.8,444,0,0
243.4,532,0,0
247,469,0,0
250.6,491,0,0
254.2,469,0,0
257.8,475,0,0
261.4,554,0,0
265.1,474,0,0
268.7,506,0,0
272.3,499,0,0
275.9,516,0,0
279.5,473,0,0
283.1,521,0,0
286.7,508,0,0
290.3,500,0,0
293.9,460,0,0
297.5,450,0,0
301.1,483,0,0
304.7,510,0,0
308.3,471,0,0
311.9,487,0,0
315.5,482,0,0
319.1,491,0,0
322.7,500,0,0
326.3,465,0,0
330,487,0,0
333.6,515,0,0
337.2,502,0,0
340.8,474,0,0
344.4,527,0,0
348,461,0,0
351.6,458,0,0
355.2,483,0,0
358.8,465,0,0
362.4,521,0,0
366,488,0,0
369.6,471,0,0
373.2,468,0,0
376.8,463,0,0
380.4,431,0,0
384,415,0,0
387.6,401,0,0
391.2,407,0,0
394.9,370,0,0
398.5,419,0,0
402.1,382,0,0
405.7,385,0,0
409.3,371,0,0
412.9,322,0,0
416.5,331,0,0
420.1,278,0,0
423.7,272,0,0
427.3,304,0,0
430.9,249,0,0
434.5,238,0,0
438.1,215,0,0
441.7,221,0,0
445.3,218,0,0
448.9,202,0,0
452.5,202,0,0
456.1,206,0,0
459.8,164,0,0
463.4,192,0,0
467,165,0,0
470.6,164,0,0
474.2,150,0,0
477.8,157,0,0
481.4,147,0,0
485,157,0,0
488.6,143,0,0
492.2,143,0,0
495.8,138,0,0
499.4,103,0,0
503,136,0,0
506.6,128,0,0
510.2,120,0,0
513.8,127,0,0
517.4,135,0,0
521,115,0,0
524.7,124,0,0
528.3,124,0,0
531.9,117,0,0
535.5,113,0,0
539.1,130,0,0
542.7,105,0,0
546.3,115,0,0
549.9,146,0,0
553.5,115,0,0
557.1,154,0,0
560.7,150,0,0
564.3,164,0,0
567.9,124,0,0
571.5,186,0,0
575.1,192,0,0
578.7,226,0,0
582.3,232,0,0
585.9,267,0,0
589.5,339,0,0
593.2,354,0,0
