Bright spot,x,y,L,D,Theta, sin(theta), avg_intensity 
#1,-242,67,24.10594217,20,0.439111676,0.425135585,0.337900135
#2,-207,-148,24.42874635,20,0.442375978,0.428087931,0.341051642
#3,-160,17,15.44645668,20,0.328817662,0.32292426,0.342214218
#4,-154,196,23.92923969,20,0.437302759,0.423497585,0.336251181
#5,-145,-78,15.80621852,20,0.334402492,0.328204819,0.342502439
#6,-87,-244,24.86844748,20,0.446740125,0.432027883,0.337605639
#7,-83,131,14.88773992,20,0.319949549,0.31451867,0.342495567
#8,-40,-164,16.20552795,20,0.340487851,0.333946977,0.339574527
#9,18,146,14.12211882,20,0.307406084,0.302587339,0.350187173
#10,57,-152,15.58426283,20,0.330968444,0.324959066,0.357485735
#11,74,232,23.37752767,20,0.431552457,0.41828143,0.338170859
#12,82,-83,11.20077712,20,0.255258951,0.252495977,0.40595639
#13,131,-220,24.58068705,20,0.443894658,0.429459924,0.349436977
#14,140,60,14.62228436,20,0.315652121,0.310436439,0.356528082
#15,152,-41,15.11352242,20,0.32356197,0.317945706,0.355476258
#16,210,135,23.96637645,20,0.437684237,0.423843134,0.340729162
#17,236,-95,24.42270943,20,0.442315404,0.428033187,0.342965281
