Bright spot,Theta,Y/Z,h,k,l, plane_Theta, plane_K/L,
#0,0.4391116762242561,0.2768595041322314,2,2,4,0.42053433528396517,0.5,
#1,0.442375977830237,0.7149758454106281,3,3,5,0.475176849498095,0.6,
#2,0.32881766182432887,0.10625000000000001,2,0,6,0.3217505543966422,0.0,
#3,0.437302758893328,1.2727272727272727,2,4,4,0.3398369094541219,1.0,
#4,0.33440249208943446,0.5379310344827587,2,2,4,0.42053433528396517,0.5,
#5,0.44674012460308027,2.804597701149425,2,4,2,0.42053433528396517,2.0,
#6,0.3199495485794767,1.5783132530120483,2,4,2,0.42053433528396517,2.0,
#7,0.3404878514255335,4.1000000000000005,1,3,1,0.30627736916966947,3.0,
#8,0.30740608353592785,8.11111111111111,1,3,1,0.30627736916966947,3.0,
#9,0.3309684444991957,2.6666666666666665,1,3,1,0.30627736916966947,3.0,
#10,0.4315524568736138,3.1351351351351355,2,4,2,0.42053433528396517,2.0,
#11,0.2552589505256895,1.0121951219512195,1,3,3,0.23147736397017835,1.0,
#12,0.44389465830225927,1.6793893129770991,3,5,3,0.475176849498095,1.6666666666666667,
#13,0.3156521205214987,0.42857142857142855,1,1,3,0.30627736916966947,0.3333333333333333,
#14,0.32356196993127684,0.26973684210526316,1,1,3,0.30627736916966947,0.3333333333333333,
#15,0.4376842366628081,0.6428571428571429,2,2,4,0.42053433528396517,0.5,
#16,0.4423154037259256,0.40254237288135597,2,2,4,0.42053433528396517,0.5,
