X,Y,X_U,Y_U,
3.0,1545.0265890728765,0.0,0.0,
3.1,1029.7735139380557,0.0,0.0,
3.2,815.0430990164086,0.0,0.0,
3.3,619.4955907507656,0.0,0.0,
3.4,493.28598257405986,0.0,0.0,
3.5,395.2791726546962,0.0,0.0,
3.6,332.7244100587852,0.0,0.0,
3.7,320.8271224396568,0.0,0.0,
3.8,279.44751536776334,0.0,0.0,
3.9,221.60041539151212,0.0,0.0,
4.0,217.52692196177844,0.0,0.0,
4.1,167.90441867684592,0.0,0.0,
4.2,138.2871158078822,0.0,0.0,
4.3,130.10173307762622,0.0,0.0,
4.4,105.39520375395068,0.0,0.0,
4.5,83.73961201771542,0.0,0.0,
4.6,85.24194243057865,0.0,0.0,
4.7,82.18244231304485,0.0,0.0,
4.8,80.63289798875817,0.0,0.0,
4.9,87.07282683760211,0.0,0.0,
5.0,78.25690528321454,0.0,0.0,
5.1,91.49414838329501,0.0,0.0,
5.2,83.53631771359669,0.0,0.0,
5.3,69.28245700474106,0.0,0.0,
5.4,105.93034022591702,0.0,0.0,
5.5,107.62523393613745,0.0,0.0,
5.6,109.4299201376379,0.0,0.0,
5.7,102.28125360748248,0.0,0.0,
5.8,100.95543104397169,0.0,0.0,
5.9,100.30759038672316,0.0,0.0,
6.0,99.03951256423001,0.0,0.0,
6.1,106.73845155426912,0.0,0.0,
6.2,113.74249871313137,0.0,0.0,
6.3,114.13979014652712,0.0,0.0,
6.4,116.36251460356286,0.0,0.0,
6.5,115.9518867537817,0.0,0.0,
6.6,113.97778575928413,0.0,0.0,
6.7,114.3964061048412,0.0,0.0,
6.8,106.08059806344028,0.0,0.0,
6.9,128.37823179728022,0.0,0.0,
7.0,134.7867582123954,0.0,0.0,
7.1,123.95489972005504,0.0,0.0,
7.2,97.82804015579285,0.0,0.0,
7.3,103.83097615947581,0.0,0.0,
7.4,135.2581624999619,0.0,0.0,
7.5,120.70786727857801,0.0,0.0,
7.6,105.99728044507759,0.0,0.0,
7.7,129.6965260493995,0.0,0.0,
7.8,113.92744593058829,0.0,0.0,
7.9,142.2222427344776,0.0,0.0,
8.0,124.51607257199845,0.0,0.0,
8.1,102.00823491887111,0.0,0.0,
8.2,124.49511397647048,0.0,0.0,
8.3,137.37336323427613,0.0,0.0,
8.4,112.72862986628236,0.0,0.0,
8.5,119.49651501511829,0.0,0.0,
8.6,128.8680977129469,0.0,0.0,
8.7,107.12840911460421,0.0,0.0,
8.8,127.1545268402674,0.0,0.0,
8.9,135.18879920434307,0.0,0.0,
9.0,157.79839034859097,0.0,0.0,
9.1,290.8521879353153,0.0,0.0,
9.2,298.500926674285,0.0,0.0,
9.3,187.6695764091638,0.0,0.0,
9.4,175.38831519651984,0.0,0.0,
9.5,143.33523305632406,0.0,0.0,
9.6,131.89797794962112,0.0,0.0,
9.7,139.83526985034123,0.0,0.0,
9.8,152.4074803309524,0.0,0.0,
9.9,143.96287076395657,0.0,0.0,
10.0,150.01879358590014,0.0,0.0,
10.1,152.0751749135634,0.0,0.0,
10.2,489.23317174965246,0.0,0.0,
10.3,1235.2305508943336,0.0,0.0,
10.4,818.6223179336339,0.0,0.0,
10.5,372.0684945705825,0.0,0.0,
10.6,230.44041450436492,0.0,0.0,
10.7,164.79858308553742,0.0,0.0,
10.8,146.29049378538767,0.0,0.0,
10.9,150.34550099887335,0.0,0.0,
11.0,138.01439718349542,0.0,0.0,
11.1,139.6934766240224,0.0,0.0,
11.2,149.29001467251965,0.0,0.0,
11.3,148.9587999679067,0.0,0.0,
11.4,145.57461142162103,0.0,0.0,
11.5,137.88231270833177,0.0,0.0,
11.6,134.8243661586174,0.0,0.0,
11.7,155.2974123979659,0.0,0.0,
11.8,134.67495286555035,0.0,0.0,
11.9,136.12915116508816,0.0,0.0,
12.0,138.76656092418878,0.0,0.0,
12.1,142.86716028808422,0.0,0.0,
12.2,136.90991344602256,0.0,0.0,
12.3,133.55598977756875,0.0,0.0,
12.4,145.03024782770404,0.0,0.0,
12.5,118.96601435309941,0.0,0.0,
12.6,141.8867104668097,0.0,0.0,
12.7,132.54702473998503,0.0,0.0,
12.8,130.73824420770677,0.0,0.0,
12.9,121.96562997804492,0.0,0.0,
13.0,134.4978922989601,0.0,0.0,
13.1,136.3941049983841,0.0,0.0,
13.2,130.69273780348038,0.0,0.0,
13.3,115.5048555891914,0.0,0.0,
13.4,112.07547025480599,0.0,0.0,
13.5,106.52396602021422,0.0,0.0,
13.6,114.05220619815623,0.0,0.0,
13.7,107.41144484273644,0.0,0.0,
13.8,104.30175710316234,0.0,0.0,
13.9,124.56442645936967,0.0,0.0,
14.0,111.74814340203179,0.0,0.0,
14.1,95.49055882823099,0.0,0.0,
14.2,111.93989334280984,0.0,0.0,
14.3,103.11124125338551,0.0,0.0,
14.4,99.10285146436406,0.0,0.0,
14.5,128.3496201344067,0.0,0.0,
14.6,115.19637953579874,0.0,0.0,
14.7,87.85879751091008,0.0,0.0,
14.8,108.43065018544365,0.0,0.0,
14.9,99.73738944919758,0.0,0.0,
15.0,108.72535469913777,0.0,0.0,
15.1,106.63746494370801,0.0,0.0,
15.2,100.18255760173618,0.0,0.0,
15.3,108.49928701331783,0.0,0.0,
15.4,114.48247749068864,0.0,0.0,
15.5,79.88125096301351,0.0,0.0,
15.6,81.78684536628215,0.0,0.0,
15.7,104.44653251763872,0.0,0.0,
15.8,89.69994795896221,0.0,0.0,
15.9,92.22079808575468,0.0,0.0,
16.0,95.9612634943001,0.0,0.0,
16.1,83.47499086042255,0.0,0.0,
16.2,86.42631848498824,0.0,0.0,
16.3,80.92117145320972,0.0,0.0,
16.4,79.39181284792485,0.0,0.0,
16.5,84.97903468356435,0.0,0.0,
16.6,85.30680145278072,0.0,0.0,
16.7,73.53461731220149,0.0,0.0,
16.8,90.74736810318426,0.0,0.0,
16.9,94.88034335151123,0.0,0.0,
17.0,74.73776377555278,0.0,0.0,
17.1,78.89589283385943,0.0,0.0,
17.2,84.57295853634868,0.0,0.0,
17.3,79.3718527637699,0.0,0.0,
17.4,84.43312140787347,0.0,0.0,
17.5,65.28135464338648,0.0,0.0,
17.6,65.69132801476508,0.0,0.0,
17.7,85.15570592741207,0.0,0.0,
17.8,74.95406231966294,0.0,0.0,
17.9,73.20357161752452,0.0,0.0,
18.0,78.74819095313642,0.0,0.0,
18.1,63.113315556895316,0.0,0.0,
18.2,83.84886143954091,0.0,0.0,
18.3,81.72987196451102,0.0,0.0,
18.4,64.53782195340375,0.0,0.0,
18.5,94.40695288352978,0.0,0.0,
18.6,86.6076183027408,0.0,0.0,
18.7,78.01141883195024,0.0,0.0,
18.8,74.20817422211036,0.0,0.0,
18.9,73.72102772336643,0.0,0.0,
19.0,71.30627034273417,0.0,0.0,
19.1,72.71951433207134,0.0,0.0,
19.2,66.94356046087846,0.0,0.0,
19.3,62.592092870578156,0.0,0.0,
19.4,59.489768191313566,0.0,0.0,
19.5,71.26528726810231,0.0,0.0,
19.6,77.43083987155032,0.0,0.0,
19.7,61.44730379631895,0.0,0.0,
19.8,53.32025043522996,0.0,0.0,
19.9,64.34621771330751,0.0,0.0,
20.0,66.88794198365369,0.0,0.0,
20.1,58.64766479726307,0.0,0.0,
20.2,55.73164354128637,0.0,0.0,
20.3,52.79561660848546,0.0,0.0,
20.4,77.61816689176536,0.0,0.0,
20.5,65.39123726620765,0.0,0.0,
20.6,49.08098295318992,0.0,0.0,
20.7,57.21993094539562,0.0,0.0,
20.8,130.52452761328246,0.0,0.0,
20.9,220.29232409066938,0.0,0.0,
21.0,201.09445944314828,0.0,0.0,
21.1,132.50066857145814,0.0,0.0,
21.2,54.410750191114865,0.0,0.0,
21.3,47.97169539595983,0.0,0.0,
21.4,56.00483836648735,0.0,0.0,
21.5,49.177952911363306,0.0,0.0,
21.6,54.420730266996884,0.0,0.0,
21.7,57.502762828872726,0.0,0.0,
21.8,48.50274714423641,0.0,0.0,
21.9,52.693228634950394,0.0,0.0,
22.0,61.01417963925615,0.0,0.0,
22.1,44.20272967043165,0.0,0.0,
22.2,51.191668485913205,0.0,0.0,
22.3,42.805208079092736,0.0,0.0,
22.4,54.01159845187601,0.0,0.0,
22.5,53.31962786329785,0.0,0.0,
22.6,29.919378913288487,0.0,0.0,
22.7,41.76694897704356,0.0,0.0,
22.8,61.46625206705043,0.0,0.0,
22.9,48.75845790765435,0.0,0.0,
23.0,29.574565066145794,0.0,0.0,
23.1,33.41703040400264,0.0,0.0,
23.2,38.37453697838306,0.0,0.0,
23.3,40.26322166487944,0.0,0.0,
23.4,42.255214233315314,0.0,0.0,
23.5,35.30502715418073,0.0,0.0,
23.6,30.835524895587294,0.0,0.0,
23.7,52.87495693448434,0.0,0.0,
23.8,29.21431977379602,0.0,0.0,
23.9,29.750680590668967,0.0,0.0,
24.0,32.98317536322379,0.0,0.0,
24.1,22.03679136309967,0.0,0.0,
24.2,24.029719617749116,0.0,0.0,
24.3,36.460914719562744,0.0,0.0,
24.4,36.77586131142723,0.0,0.0,
24.5,31.563731511466454,0.0,0.0,
24.6,28.627444166381764,0.0,0.0,
24.7,29.301663721563003,0.0,0.0,
24.8,34.34598852397786,0.0,0.0,
24.9,35.33515860345312,0.0,0.0,
25.0,29.715458468219808,0.0,0.0,
25.1,35.9812771705038,0.0,0.0,
25.2,39.61750559057334,0.0,0.0,
25.3,31.666569373497495,0.0,0.0,
25.4,23.9379387155172,0.0,0.0,
25.5,24.449235565419603,0.0,0.0,
25.6,18.261021035595547,0.0,0.0,
25.7,39.74052951995864,0.0,0.0,
25.8,29.333167868709964,0.0,0.0,
25.9,22.46546628055153,0.0,0.0,
26.0,23.62782357709336,0.0,0.0,
26.1,20.9981083665613,0.0,0.0,
26.2,27.02846641628947,0.0,0.0,
26.3,31.51894956392446,0.0,0.0,
26.4,31.316834064928535,0.0,0.0,
26.5,25.67835396825696,0.0,0.0,
26.6,26.839273057667405,0.0,0.0,
26.7,21.472490102733417,0.0,0.0,
26.8,19.50588704773929,0.0,0.0,
26.9,19.799559200076153,0.0,0.0,
27.0,31.346382829671015,0.0,0.0,
27.1,36.81553889583017,0.0,0.0,
27.2,22.75094456278229,0.0,0.0,
27.3,15.514893295517854,0.0,0.0,
27.4,22.625654542639438,0.0,0.0,
27.5,30.086606693654637,0.0,0.0,
27.6,19.976105443711198,0.0,0.0,
27.7,16.267724113996636,0.0,0.0,
27.8,22.816761704449824,0.0,0.0,
27.9,36.004209412368084,0.0,0.0,
28.0,22.548712063189967,0.0,0.0,
28.1,8.809542690946769,0.0,0.0,
28.2,25.125966803271467,0.0,0.0,
28.3,37.368696161437,0.0,0.0,
28.4,32.063953710564185,0.0,0.0,
28.5,35.05586237116131,0.0,0.0,
28.6,19.500193729596216,0.0,0.0,
28.7,20.67648183836063,0.0,0.0,
28.8,31.69277309719234,0.0,0.0,
28.9,10.536108771465237,0.0,0.0,
29.0,23.286810837744778,0.0,0.0,
29.1,33.58479881892676,0.0,0.0,
29.2,9.742384506835604,0.0,0.0,
29.3,12.289397279714574,0.0,0.0,
29.4,27.13204353797146,0.0,0.0,
29.5,21.475393586866232,0.0,0.0,
29.6,15.103985913417473,0.0,0.0,
29.7,14.859974901813292,0.0,0.0,
29.8,21.399911620032086,0.0,0.0,
29.9,32.71612600897038,0.0,0.0,
30.0,23.349624625606573,0.0,0.0,
