X,Y,X_U,Y_U,
3.0,210.1978556230876,0.0,0.0,
3.1,280.82042760236345,0.0,0.0,
3.2,253.0160751892159,0.0,0.0,
3.3,185.46727788774888,0.0,0.0,
3.4,150.2346262901477,0.0,0.0,
3.5,149.90947712769008,0.0,0.0,
3.6,139.33920525432907,0.0,0.0,
3.7,102.53536570642761,0.0,0.0,
3.8,70.6610442347606,0.0,0.0,
3.9,68.08987071903299,0.0,0.0,
4.0,76.77580093430629,0.0,0.0,
4.1,68.3906443651505,0.0,0.0,
4.2,47.33064226464446,0.0,0.0,
4.3,39.20558704188474,0.0,0.0,
4.4,48.95863277894506,0.0,0.0,
4.5,55.498948298379716,0.0,0.0,
4.6,46.832762558476,0.0,0.0,
4.7,37.39347915950986,0.0,0.0,
4.8,42.34499415503461,0.0,0.0,
4.9,52.66024698872999,0.0,0.0,
5.0,50.37996372879192,0.0,0.0,
5.1,37.96362067227924,0.0,0.0,
5.2,34.80720000465246,0.0,0.0,
5.3,47.3974927885868,0.0,0.0,
5.4,60.17432082213805,0.0,0.0,
5.5,60.022632778090866,0.0,0.0,
5.6,55.24161478929697,0.0,0.0,
5.7,60.65115580427513,0.0,0.0,
5.8,73.74381554086176,0.0,0.0,
5.9,78.74271016186536,0.0,0.0,
6.0,70.83679446372628,0.0,0.0,
6.1,63.0582155203488,0.0,0.0,
6.2,66.76433929552415,0.0,0.0,
6.3,76.1531464003674,0.0,0.0,
6.4,78.42540573444333,0.0,0.0,
6.5,72.15183721871905,0.0,0.0,
6.6,67.32092421083226,0.0,0.0,
6.7,70.26953525148913,0.0,0.0,
6.8,76.77257807885127,0.0,0.0,
6.9,80.3858998482669,0.0,0.0,
7.0,80.86557789876066,0.0,0.0,
7.1,81.75891553530742,0.0,0.0,
7.2,84.2351401483633,0.0,0.0,
7.3,86.57847450208672,0.0,0.0,
7.4,87.19448895530758,0.0,0.0,
7.5,85.53757700675334,0.0,0.0,
7.6,82.19256031392382,0.0,0.0,
7.7,80.19942560994302,0.0,0.0,
7.8,83.62968890171494,0.0,0.0,
7.9,91.75232106888578,0.0,0.0,
8.0,97.1480148477334,0.0,0.0,
