X,Y,X_U,Y_U,
3.0,78.69933590542978,0.0,0.0,
3.1,81.72774198217016,0.0,0.0,
3.2,84.16296909016769,0.0,0.0,
3.3,85.9567169020759,0.0,0.0,
3.4,87.0762742934312,0.0,0.0,
3.5,87.50549952584532,0.0,0.0,
3.6,87.24532989238779,0.0,0.0,
3.7,86.31380454296001,0.0,0.0,
3.8,84.74559931971994,0.0,0.0,
3.9,82.59108758239256,0.0,0.0,
4.0,79.91495569830019,0.0,0.0,
4.1,76.79441563511078,0.0,0.0,
4.2,73.31706947967868,0.0,0.0,
4.3,69.57849131389825,0.0,0.0,
4.4,65.67960036733211,0.0,0.0,
4.5,61.72390546608504,0.0,0.0,
4.6,57.814704316879165,0.0,0.0,
4.7,54.05232199901751,0.0,0.0,
4.8,50.531471168297145,0.0,0.0,
4.9,47.33881197862448,0.0,0.0,
5.0,44.550782758425065,0.0,0.0,
5.1,42.23176328038323,0.0,0.0,
5.2,40.43262134791942,0.0,0.0,
5.3,39.189680765646706,0.0,0.0,
5.4,38.52413498882463,0.0,0.0,
5.5,38.44191631861254,0.0,0.0,
5.6,38.934015905329346,0.0,0.0,
5.7,39.97723552398021,0.0,0.0,
5.8,41.53533856523297,0.0,0.0,
5.9,43.560555382489504,0.0,0.0,
6.0,45.995387450094974,0.0,0.0,
6.1,48.774646060936085,0.0,0.0,
6.2,51.827654797789705,0.0,0.0,
6.3,55.08054094912664,0.0,0.0,
6.4,58.45853952091311,0.0,0.0,
6.5,61.88823454896358,0.0,0.0,
6.6,65.29966598214259,0.0,0.0,
6.7,68.62823634103086,0.0,0.0,
6.8,71.81635943597564,0.0,0.0,
6.9,74.81480335767283,0.0,0.0,
7.0,77.58369137642707,0.0,0.0,
7.1,80.09313689817144,0.0,0.0,
7.2,82.32350178673516,0.0,0.0,
7.3,84.26528071380714,0.0,0.0,
7.4,85.91862727797916,0.0,0.0,
7.5,87.29254999181217,0.0,0.0,
7.6,88.40381744832679,0.0,0.0,
7.7,89.27562166500043,0.0,0.0,
7.8,89.93605643857136,0.0,0.0,
7.9,90.41647326801059,0.0,0.0,
8.0,90.74978083095728,0.0,0.0,
