X,Y,X_U,Y_U,
3.1,110.8123137122069,0.0,0.0,
3.2,117.96669922185865,0.0,0.0,
3.3,124.43722349641423,0.0,0.0,
3.4,130.20763555437998,0.0,0.0,
3.5,135.28407873758584,0.0,0.0,
3.6,139.69460281349765,0.0,0.0,
3.7,143.48808135577397,0.0,0.0,
3.8,146.73256427104639,0.0,0.0,
3.9,149.51311035486034,0.0,0.0,
4.0,151.92915858086752,0.0,0.0,
4.1,154.0915090885191,0.0,0.0,
4.2,156.1189952108118,0.0,0.0,
4.3,158.13493610015647,0.0,0.0,
4.4,160.2634653494591,0.0,0.0,
4.5,162.62583431228452,0.0,0.0,
4.6,165.336789512858,0.0,0.0,
4.7,168.50112158538036,0.0,0.0,
4.8,172.21047864430463,0.0,0.0,
4.9,176.54052998298252,0.0,0.0,
5.0,181.54855671289567,0.0,0.0,
5.1,187.27153463543445,0.0,0.0,
5.2,193.7247615826717,0.0,0.0,
5.3,200.9010670185837,0.0,0.0,
5.4,208.77062624028207,0.0,0.0,
5.5,217.28138546933,0.0,0.0,
5.6,226.36008790125328,0.0,0.0,
5.7,235.9138748166529,0.0,0.0,
5.8,245.8324205728229,0.0,0.0,
5.9,255.99054609543464,0.0,0.0,
6.0,266.2512427519179,0.0,0.0,
6.1,276.469027549231,0.0,0.0,
6.2,286.4935417487311,0.0,0.0,
6.3,296.17329846451963,0.0,0.0,
6.4,305.35948078210873,0.0,0.0,
6.5,313.909690508628,0.0,0.0,
6.6,321.69154888220265,0.0,0.0,
6.7,328.58605439481454,0.0,0.0,
6.8,334.49060921899905,0.0,0.0,
6.9,339.3216344068186,0.0,0.0,
7.0,343.01670482036354,0.0,0.0,
7.1,345.5361473712936,0.0,0.0,
7.2,346.86406025900664,0.0,0.0,
7.3,347.00872612971347,0.0,0.0,
7.4,346.00240802912674,0.0,0.0,
7.5,343.90053326777104,0.0,0.0,
7.6,340.7802864303638,0.0,0.0,
7.7,336.7386483131249,0.0,0.0,
7.8,331.8899321538712,0.0,0.0,
7.9,326.36288174369554,0.0,0.0,
8.0,320.29740752616055,0.0,0.0,
8.1,313.8410462956985,0.0,0.0,
8.2,307.14523734996055,0.0,0.0,
8.3,300.3615127397655,0.0,0.0,
8.4,293.63770146857183,0.0,0.0,
8.5,287.11424706285925,0.0,0.0,
8.6,280.9207348771147,0.0,0.0,
8.7,275.1727198934824,0.0,0.0,
8.8,269.9689377751188,0.0,0.0,
8.9,265.38897174593734,0.0,0.0,
9.0,261.49143576758206,0.0,0.0,
9.1,258.31272078768313,0.0,0.0,
9.2,255.86633590447613,0.0,0.0,
9.3,254.14286052703787,0.0,0.0,
9.4,253.11050742519254,0.0,0.0,
9.5,252.7162803870925,0.0,0.0,
9.6,252.8876944638716,0.0,0.0,
9.7,253.53501189624703,0.0,0.0,
9.8,254.55393318152508,0.0,0.0,
9.9,255.82867071209628,0.0,0.0,
10.0,257.235322316479,0.0,0.0,
10.1,258.6454541285506,0.0,0.0,
10.2,259.92979670889724,0.0,0.0,
10.3,260.9619553896754,0.0,0.0,
10.4,261.62203548892444,0.0,0.0,
10.5,261.8000853502627,0.0,0.0,
10.6,261.3992650478729,0.0,0.0,
10.7,260.338655925016,0.0,0.0,
10.8,258.55563571264327,0.0,0.0,
10.9,256.00775554904396,0.0,0.0,
11.0,252.67406848505667,0.0,0.0,
11.1,248.5558736606195,0.0,0.0,
11.2,243.67685589035742,0.0,0.0,
11.3,238.08261648632595,0.0,0.0,
11.4,231.8396073485179,0.0,0.0,
11.5,225.0334962388829,0.0,0.0,
11.6,217.7670063013947,0.0,0.0,
11.7,210.1572868976654,0.0,0.0,
11.8,202.3328853234658,0.0,0.0,
11.9,194.4303996249845,0.0,0.0,
12.0,186.59090126226545,0.0,0.0,
12.1,178.956222544775,0.0,0.0,
