X,Y,X_U,Y_U,
3.15,2.035867041681561,0.0,0.0,
3.16,1.9025129392467381,0.0,0.0,
3.17,1.7623071241029002,0.0,0.0,
3.17,1.615244496285299,0.0,0.0,
3.18,1.461324615614417,0.0,0.0,
3.19,1.3005517210064361,0.0,0.0,
3.2,1.132934746286787,0.0,0.0,
3.2,0.9584873324884655,0.0,0.0,
3.21,0.777227836617371,0.0,0.0,
3.22,0.5891793368720933,0.0,0.0,
3.23,0.3943696343060917,0.0,0.0,
3.23,0.19283125092552839,0.0,0.0,
3.24,0.015398575783900291,0.0,0.0,
3.25,0.2302779019029266,0.0,0.0,
3.26,0.4517600896971677,0.0,0.0,
3.26,0.6797938238056307,0.0,0.0,
3.27,0.9143231309923489,0.0,0.0,
3.28,1.1552874034529528,0.0,0.0,
3.29,1.402621425665401,0.0,0.0,
3.29,1.6562554047682918,0.0,0.0,
3.3,1.9161150044525954,0.0,0.0,
3.31,2.182121382343849,0.0,0.0,
3.32,2.454191230854881,0.0,0.0,
3.33,2.7322368214810706,0.0,0.0,
3.33,3.0161660525120344,0.0,0.0,
3.34,3.3058825001272973,0.0,0.0,
3.35,3.6012854728431707,0.0,0.0,
3.36,3.9022700692745182,0.0,0.0,
3.36,4.208727239171319,0.0,0.0,
3.37,4.520543847690468,0.0,0.0,
3.38,4.837602742856368,0.0,0.0,
3.39,5.159782826165824,0.0,0.0,
3.39,5.486959126285689,0.0,0.0,
3.4,5.819002875793549,0.0,0.0,
3.41,6.155781590906129,0.0,0.0,
3.42,6.497159154138665,0.0,0.0,
3.42,6.842995899837463,0.0,0.0,
3.43,7.193148702522766,0.0,0.0,
3.44,7.547471067979525,0.0,0.0,
3.45,7.905813227029982,0.0,0.0,
3.45,8.268022231919833,0.0,0.0,
3.46,8.633942055248102,0.0,0.0,
3.47,9.003413691368499,0.0,0.0,
3.48,9.376275260188136,0.0,0.0,
3.48,9.752362113287392,0.0,0.0,
3.49,10.131506942282826,0.0,0.0,
3.5,10.51353988935339,0.0,0.0,
3.51,10.898288659848312,0.0,0.0,
3.51,11.285578636892843,0.0,0.0,
3.52,11.675232997907678,0.0,0.0,
3.53,12.067072832954276,0.0,0.0,
3.54,12.460917264819424,0.0,0.0,
3.54,12.856583570747732,0.0,0.0,
3.55,13.253887305732594,0.0,0.0,
3.56,13.652642427272722,0.0,0.0,
3.57,14.052661421500595,0.0,0.0,
3.58,14.453755430588483,0.0,0.0,
3.58,14.85573438133588,0.0,0.0,
3.59,15.258407114842402,0.0,0.0,
3.6,15.661581517167173,0.0,0.0,
3.61,16.06506465087763,0.0,0.0,
3.61,16.46866288738674,0.0,0.0,
3.62,16.87218203998029,0.0,0.0,
3.63,17.27542749743177,0.0,0.0,
3.64,17.67820435810583,0.0,0.0,
3.64,18.080317564445576,0.0,0.0,
3.65,18.48157203774527,0.0,0.0,
3.66,18.881772813102256,0.0,0.0,
3.67,19.28072517444896,0.0,0.0,
3.67,19.678234789559415,0.0,0.0,
3.68,20.074107844928967,0.0,0.0,
3.69,20.468151180424414,0.0,0.0,
3.7,20.86017242360071,0.0,0.0,
3.7,21.249980123582823,0.0,0.0,
3.71,21.63738388440995,0.0,0.0,
3.72,22.022194497740152,0.0,0.0,
3.73,22.40422407481403,0.0,0.0,
3.73,22.783286177576407,0.0,0.0,
3.74,23.159195948855064,0.0,0.0,
3.75,23.531770241498,0.0,0.0,
3.76,23.90082774636853,0.0,0.0,
3.76,24.26618911910138,0.0,0.0,
3.77,24.62767710552172,0.0,0.0,
3.78,24.985116665631182,0.0,0.0,
3.79,25.33833509606515,0.0,0.0,
3.79,25.68716215092756,0.0,0.0,
3.8,26.031430160910396,0.0,0.0,
3.81,26.37097415060492,0.0,0.0,
3.82,26.705631953916914,0.0,0.0,
3.83,27.035244327493693,0.0,0.0,
3.83,27.359655062078765,0.0,0.0,
3.84,27.678711091705452,0.0,0.0,
3.85,27.992262600647617,0.0,0.0,
3.86,28.300163128043064,0.0,0.0,
3.86,28.602269670110466,0.0,0.0,
3.87,28.89844277987959,0.0,0.0,
3.88,29.188546664358896,0.0,0.0,
3.89,29.472449279064342,0.0,0.0,
3.89,29.7500224198379,0.0,0.0,
3.9,30.02114181188248,0.0,0.0,
3.91,30.285687195947418,0.0,0.0,
3.92,30.54354241159472,0.0,0.0,
3.92,30.794595477484673,0.0,0.0,
3.93,31.038738668615967,0.0,0.0,
3.94,31.27586859046268,0.0,0.0,
3.95,31.505886249949505,0.0,0.0,
3.95,31.728697123210658,0.0,0.0,
3.96,31.944211220080433,0.0,0.0,
3.97,32.15234314526445,0.0,0.0,
