X,Y,X_U,Y_U
E_A#9 / keV,N_A#9,0,0
-47.9,0,0,0
-44.8,0,0,0
-41.6,0,0,0
-38.5,0,0,0
-35.3,1,0,0
-32.2,22,0,0
-29.1,22,0,0
-25.9,25,0,0
-22.8,34,0,0
-19.6,39,0,0
-16.5,29,0,0
-13.4,31,0,0
-10.2,32,0,0
-7.1,49,0,0
-3.9,36,0,0
-0.8,48,0,0
2.3,41,0,0
5.5,41,0,0
8.6,49,0,0
11.8,58,0,0
14.9,45,0,0
18,45,0,0
21.2,54,0,0
24.3,56,0,0
27.5,54,0,0
30.6,63,0,0
33.7,64,0,0
36.9,69,0,0
40,88,0,0
43.2,81,0,0
46.3,76,0,0
49.4,88,0,0
52.6,113,0,0
55.7,149,0,0
58.9,130,0,0
62,103,0,0
65.1,127,0,0
68.3,106,0,0
71.4,113,0,0
74.6,109,0,0
77.7,94,0,0
80.8,97,0,0
84,92,0,0
87.1,119,0,0
90.3,87,0,0
93.4,87,0,0
96.5,94,0,0
99.7,78,0,0
102.8,82,0,0
106,104,0,0
109.1,90,0,0
112.2,90,0,0
115.4,88,0,0
118.5,74,0,0
121.7,83,0,0
124.8,95,0,0
127.9,75,0,0
131.1,81,0,0
134.2,68,0,0
137.3,77,0,0
140.5,87,0,0
143.6,89,0,0
146.8,94,0,0
149.9,90,0,0
153,90,0,0
156.2,76,0,0
159.3,90,0,0
162.5,82,0,0
165.6,74,0,0
168.7,82,0,0
171.9,85,0,0
175,82,0,0
178.2,63,0,0
181.3,60,0,0
184.4,80,0,0
187.6,79,0,0
190.7,61,0,0
193.9,60,0,0
197,70,0,0
200.1,62,0,0
203.3,72,0,0
206.4,61,0,0
209.6,47,0,0
212.7,71,0,0
215.8,62,0,0
219,56,0,0
222.1,47,0,0
225.3,55,0,0
228.4,45,0,0
231.5,41,0,0
234.7,43,0,0
237.8,59,0,0
241,59,0,0
244.1,52,0,0
247.2,56,0,0
250.4,54,0,0
253.5,44,0,0
256.7,42,0,0
259.8,47,0,0
262.9,38,0,0
266.1,45,0,0
269.2,59,0,0
272.4,45,0,0
275.5,32,0,0
278.6,37,0,0
281.8,39,0,0
284.9,51,0,0
288.1,43,0,0
291.2,44,0,0
294.3,43,0,0
297.5,38,0,0
300.6,33,0,0
303.8,49,0,0
306.9,43,0,0
310,49,0,0
313.2,47,0,0
316.3,44,0,0
319.5,38,0,0
322.6,32,0,0
325.7,52,0,0
328.9,48,0,0
332,29,0,0
335.2,38,0,0
338.3,39,0,0
341.4,40,0,0
344.6,46,0,0
347.7,33,0,0
350.9,40,0,0
354,38,0,0
357.1,31,0,0
360.3,40,0,0
363.4,30,0,0
366.6,34,0,0
369.7,30,0,0
372.8,36,0,0
376,28,0,0
379.1,39,0,0
382.3,48,0,0
385.4,41,0,0
388.5,30,0,0
391.7,35,0,0
394.8,31,0,0
398,21,0,0
401.1,29,0,0
404.2,36,0,0
407.4,36,0,0
410.5,28,0,0
413.7,36,0,0
416.8,43,0,0
419.9,32,0,0
423.1,26,0,0
426.2,25,0,0
429.4,36,0,0
432.5,43,0,0
435.6,38,0,0
438.8,24,0,0
441.9,30,0,0
445.1,38,0,0
448.2,34,0,0
451.3,31,0,0
454.5,47,0,0
457.6,40,0,0
460.8,36,0,0
463.9,44,0,0
467,44,0,0
470.2,43,0,0
473.3,29,0,0
476.5,27,0,0
479.6,47,0,0
482.7,54,0,0
485.9,39,0,0
489,45,0,0
492.2,67,0,0
495.3,70,0,0
498.4,80,0,0
501.6,78,0,0
504.7,58,0,0
507.9,85,0,0
511,89,0,0
514.1,83,0,0
517.3,73,0,0
520.4,77,0,0
523.6,69,0,0
526.7,71,0,0
529.8,73,0,0
533,64,0,0
536.1,61,0,0
539.3,48,0,0
542.4,52,0,0
545.5,47,0,0
548.7,48,0,0
551.8,33,0,0
555,37,0,0
558.1,29,0,0
561.2,32,0,0
564.4,21,0,0
567.5,31,0,0
570.7,12,0,0
573.8,21,0,0
576.9,16,0,0
580.1,23,0,0
583.2,21,0,0
586.4,30,0,0
589.5,17,0,0
592.6,21,0,0
595.8,13,0,0
598.9,19,0,0
602.1,13,0,0
605.2,21,0,0
608.3,22,0,0
611.5,26,0,0
614.6,26,0,0
617.8,26,0,0
620.9,16,0,0
624,21,0,0
627.2,31,0,0
630.3,24,0,0
633.5,19,0,0
636.6,32,0,0
639.7,23,0,0
642.9,18,0,0
646,29,0,0
649.2,28,0,0
652.3,32,0,0
655.4,16,0,0
658.6,30,0,0
661.7,27,0,0
664.9,26,0,0
668,31,0,0
671.1,34,0,0
674.3,26,0,0
677.4,20,0,0
680.6,36,0,0
683.7,20,0,0
686.8,28,0,0
690,20,0,0
693.1,26,0,0
696.3,17,0,0
699.4,19,0,0
702.5,19,0,0
705.7,19,0,0
708.8,22,0,0
712,9,0,0
715.1,16,0,0
718.2,16,0,0
721.4,15,0,0
724.5,22,0,0
727.7,15,0,0
730.8,16,0,0
733.9,23,0,0
737.1,20,0,0
740.2,18,0,0
743.4,20,0,0
746.5,13,0,0
749.6,10,0,0
752.8,14,0,0
755.9,13,0,0
759.1,14,0,0
762.2,13,0,0
765.3,17,0,0
768.5,15,0,0
771.6,18,0,0
774.8,11,0,0
777.9,14,0,0
781,11,0,0
784.2,17,0,0
787.3,15,0,0
790.5,16,0,0
793.6,18,0,0
796.7,29,0,0
799.9,17,0,0
803,15,0,0
806.2,25,0,0
809.3,13,0,0
812.4,19,0,0
815.6,19,0,0
818.7,15,0,0
821.9,10,0,0
825,17,0,0
828.1,11,0,0
831.3,17,0,0
834.4,21,0,0
837.6,19,0,0
840.7,14,0,0
843.8,16,0,0
847,12,0,0
850.1,9,0,0
853.3,12,0,0
856.4,23,0,0
859.5,20,0,0
862.7,15,0,0
865.8,17,0,0
869,18,0,0
872.1,14,0,0
875.2,15,0,0
878.4,17,0,0
881.5,19,0,0
884.7,10,0,0
887.8,20,0,0
890.9,17,0,0
894.1,18,0,0
897.2,22,0,0
900.3,15,0,0
903.5,20,0,0
906.6,24,0,0
909.8,19,0,0
912.9,14,0,0
916,23,0,0
919.2,26,0,0
922.3,17,0,0
925.5,17,0,0
928.6,15,0,0
931.7,16,0,0
934.9,17,0,0
938,9,0,0
941.2,11,0,0
944.3,15,0,0
947.4,8,0,0
950.6,20,0,0
953.7,15,0,0
956.9,10,0,0
960,13,0,0
963.1,17,0,0
966.3,12,0,0
969.4,22,0,0
972.6,19,0,0
975.7,12,0,0
978.8,11,0,0
982,18,0,0
985.1,9,0,0
988.3,27,0,0
991.4,19,0,0
994.5,16,0,0
997.7,21,0,0
1000.8,17,0,0
1004,17,0,0
1007.1,16,0,0
1010.2,11,0,0
1013.4,17,0,0
1016.5,11,0,0
1019.7,10,0,0
1022.8,8,0,0
1025.9,19,0,0
1029.1,17,0,0
1032.2,10,0,0
1035.4,8,0,0
1038.5,8,0,0
1041.6,7,0,0
1044.8,14,0,0
1047.9,15,0,0
1051.1,13,0,0
1054.2,8,0,0
1057.3,14,0,0
1060.5,14,0,0
1063.6,7,0,0
1066.8,8,0,0
1069.9,13,0,0
1073,9,0,0
1076.2,8,0,0
1079.3,9,0,0
1082.5,9,0,0
1085.6,8,0,0
1088.7,7,0,0
1091.9,5,0,0
1095,11,0,0
1098.2,6,0,0
1101.3,5,0,0
1104.4,6,0,0
1107.6,4,0,0
1110.7,4,0,0
