X,Y,X_U,Y_U
E_A#8 / keV,N_A#8,0,0
-47.9,0,0,0
-44.8,0,0,0
-41.6,0,0,0
-38.5,0,0,0
-35.3,4,0,0
-32.2,25,0,0
-29.1,20,0,0
-25.9,24,0,0
-22.8,30,0,0
-19.6,35,0,0
-16.5,35,0,0
-13.4,40,0,0
-10.2,37,0,0
-7.1,42,0,0
-3.9,40,0,0
-0.8,66,0,0
2.3,59,0,0
5.5,45,0,0
8.6,47,0,0
11.8,45,0,0
14.9,48,0,0
18,52,0,0
21.2,60,0,0
24.3,63,0,0
27.5,57,0,0
30.6,67,0,0
33.7,64,0,0
36.9,86,0,0
40,100,0,0
43.2,93,0,0
46.3,83,0,0
49.4,111,0,0
52.6,117,0,0
55.7,110,0,0
58.9,131,0,0
62,122,0,0
65.1,117,0,0
68.3,121,0,0
71.4,121,0,0
74.6,85,0,0
77.7,107,0,0
80.8,108,0,0
84,97,0,0
87.1,105,0,0
90.3,93,0,0
93.4,102,0,0
96.5,93,0,0
99.7,87,0,0
102.8,106,0,0
106,108,0,0
109.1,96,0,0
112.2,80,0,0
115.4,74,0,0
118.5,83,0,0
121.7,91,0,0
124.8,80,0,0
127.9,89,0,0
131.1,100,0,0
134.2,87,0,0
137.3,82,0,0
140.5,108,0,0
143.6,81,0,0
146.8,83,0,0
149.9,87,0,0
153,96,0,0
156.2,82,0,0
159.3,86,0,0
162.5,90,0,0
165.6,90,0,0
168.7,81,0,0
171.9,84,0,0
175,75,0,0
178.2,82,0,0
181.3,66,0,0
184.4,64,0,0
187.6,63,0,0
190.7,53,0,0
193.9,73,0,0
197,72,0,0
200.1,63,0,0
203.3,59,0,0
206.4,44,0,0
209.6,67,0,0
212.7,62,0,0
215.8,58,0,0
219,68,0,0
222.1,53,0,0
225.3,49,0,0
228.4,74,0,0
231.5,56,0,0
234.7,50,0,0
237.8,54,0,0
241,72,0,0
244.1,69,0,0
247.2,69,0,0
250.4,64,0,0
253.5,64,0,0
256.7,55,0,0
259.8,45,0,0
262.9,48,0,0
266.1,53,0,0
269.2,56,0,0
272.4,57,0,0
275.5,49,0,0
278.6,59,0,0
281.8,55,0,0
284.9,46,0,0
288.1,45,0,0
291.2,49,0,0
294.3,49,0,0
297.5,47,0,0
300.6,58,0,0
303.8,60,0,0
306.9,52,0,0
310,34,0,0
313.2,49,0,0
316.3,47,0,0
319.5,38,0,0
322.6,40,0,0
325.7,45,0,0
328.9,53,0,0
332,40,0,0
335.2,62,0,0
338.3,29,0,0
341.4,40,0,0
344.6,39,0,0
347.7,36,0,0
350.9,43,0,0
354,44,0,0
357.1,43,0,0
360.3,34,0,0
363.4,38,0,0
366.6,42,0,0
369.7,35,0,0
372.8,43,0,0
376,36,0,0
379.1,44,0,0
382.3,35,0,0
385.4,47,0,0
388.5,44,0,0
391.7,36,0,0
394.8,39,0,0
398,41,0,0
401.1,41,0,0
404.2,41,0,0
407.4,33,0,0
410.5,24,0,0
413.7,45,0,0
416.8,28,0,0
419.9,43,0,0
423.1,36,0,0
426.2,39,0,0
429.4,44,0,0
432.5,38,0,0
435.6,29,0,0
438.8,58,0,0
441.9,44,0,0
445.1,40,0,0
448.2,43,0,0
451.3,45,0,0
454.5,48,0,0
457.6,38,0,0
460.8,39,0,0
463.9,44,0,0
467,39,0,0
470.2,43,0,0
473.3,44,0,0
476.5,62,0,0
479.6,54,0,0
482.7,47,0,0
485.9,60,0,0
489,69,0,0
492.2,63,0,0
495.3,88,0,0
498.4,86,0,0
501.6,69,0,0
504.7,83,0,0
507.9,79,0,0
511,89,0,0
514.1,106,0,0
517.3,87,0,0
520.4,93,0,0
523.6,96,0,0
526.7,96,0,0
529.8,77,0,0
533,74,0,0
536.1,62,0,0
539.3,62,0,0
542.4,52,0,0
545.5,51,0,0
548.7,37,0,0
551.8,42,0,0
555,33,0,0
558.1,35,0,0
561.2,26,0,0
564.4,28,0,0
567.5,20,0,0
570.7,15,0,0
573.8,20,0,0
576.9,16,0,0
580.1,22,0,0
583.2,28,0,0
586.4,14,0,0
589.5,30,0,0
592.6,22,0,0
595.8,26,0,0
598.9,16,0,0
602.1,24,0,0
605.2,18,0,0
608.3,28,0,0
611.5,20,0,0
614.6,35,0,0
617.8,26,0,0
620.9,34,0,0
624,29,0,0
627.2,25,0,0
630.3,28,0,0
633.5,23,0,0
636.6,18,0,0
639.7,24,0,0
642.9,26,0,0
646,27,0,0
649.2,26,0,0
652.3,26,0,0
655.4,28,0,0
658.6,25,0,0
661.7,26,0,0
664.9,27,0,0
668,35,0,0
671.1,24,0,0
674.3,22,0,0
677.4,20,0,0
680.6,16,0,0
683.7,32,0,0
686.8,23,0,0
690,26,0,0
693.1,21,0,0
696.3,18,0,0
699.4,24,0,0
702.5,27,0,0
705.7,14,0,0
708.8,16,0,0
712,15,0,0
715.1,20,0,0
718.2,14,0,0
721.4,14,0,0
724.5,19,0,0
727.7,18,0,0
730.8,12,0,0
733.9,20,0,0
737.1,13,0,0
740.2,20,0,0
743.4,11,0,0
746.5,13,0,0
749.6,18,0,0
752.8,21,0,0
755.9,13,0,0
759.1,16,0,0
762.2,13,0,0
765.3,13,0,0
768.5,16,0,0
771.6,20,0,0
774.8,24,0,0
777.9,22,0,0
781,23,0,0
784.2,17,0,0
787.3,17,0,0
790.5,14,0,0
793.6,10,0,0
796.7,14,0,0
799.9,20,0,0
803,12,0,0
806.2,15,0,0
809.3,25,0,0
812.4,18,0,0
815.6,17,0,0
818.7,18,0,0
821.9,21,0,0
825,13,0,0
828.1,19,0,0
831.3,10,0,0
834.4,14,0,0
837.6,18,0,0
840.7,21,0,0
843.8,18,0,0
847,19,0,0
850.1,17,0,0
853.3,19,0,0
856.4,18,0,0
859.5,13,0,0
862.7,9,0,0
865.8,16,0,0
869,6,0,0
872.1,12,0,0
875.2,16,0,0
878.4,17,0,0
881.5,18,0,0
884.7,17,0,0
887.8,19,0,0
890.9,19,0,0
894.1,14,0,0
897.2,20,0,0
900.3,12,0,0
903.5,15,0,0
906.6,20,0,0
909.8,17,0,0
912.9,16,0,0
916,31,0,0
919.2,15,0,0
922.3,18,0,0
925.5,14,0,0
928.6,15,0,0
931.7,21,0,0
934.9,20,0,0
938,22,0,0
941.2,22,0,0
944.3,19,0,0
947.4,12,0,0
950.6,20,0,0
953.7,16,0,0
956.9,21,0,0
960,15,0,0
963.1,16,0,0
966.3,10,0,0
969.4,17,0,0
972.6,18,0,0
975.7,20,0,0
978.8,19,0,0
982,13,0,0
985.1,14,0,0
988.3,11,0,0
991.4,15,0,0
994.5,16,0,0
997.7,15,0,0
1000.8,17,0,0
1004,18,0,0
1007.1,15,0,0
1010.2,19,0,0
1013.4,22,0,0
1016.5,15,0,0
1019.7,18,0,0
1022.8,17,0,0
1025.9,19,0,0
1029.1,18,0,0
1032.2,13,0,0
1035.4,10,0,0
1038.5,8,0,0
1041.6,8,0,0
1044.8,17,0,0
1047.9,14,0,0
1051.1,18,0,0
1054.2,11,0,0
1057.3,9,0,0
1060.5,11,0,0
1063.6,8,0,0
1066.8,10,0,0
1069.9,11,0,0
1073,11,0,0
1076.2,10,0,0
1079.3,10,0,0
1082.5,9,0,0
1085.6,5,0,0
1088.7,9,0,0
1091.9,8,0,0
1095,5,0,0
1098.2,6,0,0
1101.3,10,0,0
1104.4,9,0,0
1107.6,4,0,0
1110.7,8,0,0
1113.9,6,0,0
1117,6,0,0
1120.1,3,0,0
1123.3,6,0,0
1126.4,6,0,0
1129.6,5,0,0
1132.7,5,0,0
1135.8,4,0,0
1139,3,0,0
1142.1,2,0,0
1145.3,6,0,0
1148.4,6,0,0
1151.5,5,0,0
1154.7,2,0,0
1157.8,5,0,0
1161,7,0,0
1164.1,5,0,0
1167.2,7,0,0
1170.4,3,0,0
1173.5,3,0,0
1176.7,7,0,0
1179.8,6,0,0
1182.9,4,0,0
1186.1,4,0,0
1189.2,4,0,0
1192.4,5,0,0
1195.5,6,0,0
1198.6,7,0,0
1201.8,10,0,0
1204.9,12,0,0
1208.1,8,0,0
1211.2,9,0,0
1214.3,14,0,0
1217.5,16,0,0
1220.6,17,0,0
1223.8,19,0,0
1226.9,10,0,0
1230,13,0,0
1233.2,16,0,0
1236.3,23,0,0
1239.5,23,0,0
1242.6,30,0,0
1245.7,24,0,0
1248.9,27,0,0
1252,27,0,0
1255.2,39,0,0
1258.3,38,0,0
1261.4,44,0,0
1264.6,38,0,0
1267.7,40,0,0
1270.9,31,0,0
1274,44,0,0
1277.1,42,0,0
1280.3,41,0,0
1283.4,31,0,0
1286.6,42,0,0
1289.7,27,0,0
1292.8,25,0,0
1296,22,0,0
1299.1,23,0,0
1302.3,27,0,0
1305.4,19,0,0
1308.5,20,0,0
1311.7,24,0,0
1314.8,18,0,0
1318,14,0,0
1321.1,10,0,0
1324.2,16,0,0
1327.4,10,0,0
1330.5,7,0,0
1333.7,5,0,0
1336.8,8,0,0
1339.9,4,0,0
1343.1,7,0,0
1346.2,3,0,0
1349.4,4,0,0
1352.5,2,0,0
1355.6,2,0,0
1358.8,1,0,0
1361.9,3,0,0
1365.1,3,0,0
1368.2,1,0,0
1371.3,1,0,0
1374.5,0,0,0
1377.6,0,0,0
1380.8,1,0,0
1383.9,1,0,0
1387,0,0,0
1390.2,0,0,0
1393.3,0,0,0
1396.5,2,0,0
1399.6,1,0,0
1402.7,1,0,0
1405.9,1,0,0
1409,3,0,0
1412.2,2,0,0
1415.3,1,0,0
1418.4,0,0,0
1421.6,0,0,0
1424.7,2,0,0
1427.9,0,0,0
1431,1,0,0
1434.1,0,0,0
1437.3,0,0,0
1440.4,3,0,0
1443.6,4,0,0
1446.7,1,0,0
1449.8,0,0,0
1453,0,0,0
1456.1,1,0,0
1459.3,2,0,0
1462.4,1,0,0
1465.5,0,0,0
1468.7,0,0,0
1471.8,0,0,0
1475,0,0,0
1478.1,1,0,0
1481.2,3,0,0
1484.4,0,0,0
1487.5,1,0,0
1490.7,0,0,0
1493.8,0,0,0
1496.9,0,0,0
1500.1,0,0,0
1503.2,1,0,0
1506.4,0,0,0
1509.5,1,0,0
1512.6,1,0,0
1515.8,0,0,0
1518.9,0,0,0
1522.1,0,0,0
1525.2,0,0,0
1528.3,0,0,0
1531.5,0,0,0
1534.6,0,0,0
1537.8,1,0,0
1540.9,0,0,0
1544,0,0,0
1547.2,1,0,0
1550.3,0,0,0
1553.5,0,0,0
1556.6,51,0,0
