X,Y,X_U,Y_U
E_A#5 / keV,N_A#5,0,0
-47.9,0,0,0
-44.8,0,0,0
-41.6,0,0,0
-38.5,0,0,0
-35.3,5,0,0
-32.2,33,0,0
-29.1,39,0,0
-25.9,54,0,0
-22.8,47,0,0
-19.6,57,0,0
-16.5,51,0,0
-13.4,52,0,0
-10.2,59,0,0
-7.1,69,0,0
-3.9,60,0,0
-0.8,83,0,0
2.3,73,0,0
5.5,80,0,0
8.6,91,0,0
11.8,73,0,0
14.9,93,0,0
18,91,0,0
21.2,105,0,0
24.3,89,0,0
27.5,106,0,0
30.6,93,0,0
33.7,110,0,0
36.9,102,0,0
40,120,0,0
43.2,119,0,0
46.3,112,0,0
49.4,125,0,0
52.6,168,0,0
55.7,195,0,0
58.9,173,0,0
62,150,0,0
65.1,161,0,0
68.3,144,0,0
71.4,151,0,0
74.6,145,0,0
77.7,131,0,0
80.8,150,0,0
84,143,0,0
87.1,143,0,0
90.3,125,0,0
93.4,120,0,0
96.5,117,0,0
99.7,128,0,0
102.8,123,0,0
106,108,0,0
109.1,126,0,0
112.2,113,0,0
115.4,132,0,0
118.5,103,0,0
121.7,137,0,0
124.8,109,0,0
127.9,116,0,0
131.1,115,0,0
134.2,123,0,0
137.3,114,0,0
140.5,101,0,0
143.6,118,0,0
146.8,119,0,0
149.9,130,0,0
153,106,0,0
156.2,108,0,0
159.3,109,0,0
162.5,123,0,0
165.6,115,0,0
168.7,113,0,0
171.9,98,0,0
175,93,0,0
178.2,102,0,0
181.3,100,0,0
184.4,90,0,0
187.6,98,0,0
190.7,86,0,0
193.9,124,0,0
197,88,0,0
200.1,111,0,0
203.3,93,0,0
206.4,93,0,0
209.6,102,0,0
212.7,97,0,0
215.8,88,0,0
219,82,0,0
222.1,85,0,0
225.3,95,0,0
228.4,87,0,0
231.5,97,0,0
234.7,90,0,0
237.8,105,0,0
241,73,0,0
244.1,75,0,0
247.2,82,0,0
250.4,73,0,0
253.5,82,0,0
256.7,89,0,0
259.8,68,0,0
262.9,90,0,0
266.1,79,0,0
269.2,77,0,0
272.4,88,0,0
275.5,91,0,0
278.6,85,0,0
281.8,84,0,0
284.9,84,0,0
288.1,79,0,0
291.2,83,0,0
294.3,76,0,0
297.5,85,0,0
300.6,85,0,0
303.8,89,0,0
306.9,89,0,0
310,63,0,0
313.2,74,0,0
316.3,86,0,0
319.5,60,0,0
322.6,68,0,0
325.7,74,0,0
328.9,71,0,0
332,64,0,0
335.2,55,0,0
338.3,60,0,0
341.4,62,0,0
344.6,61,0,0
347.7,55,0,0
350.9,65,0,0
354,60,0,0
357.1,56,0,0
360.3,51,0,0
363.4,65,0,0
366.6,62,0,0
369.7,54,0,0
372.8,52,0,0
376,54,0,0
379.1,68,0,0
382.3,61,0,0
385.4,57,0,0
388.5,41,0,0
391.7,50,0,0
394.8,56,0,0
398,58,0,0
401.1,65,0,0
404.2,53,0,0
407.4,54,0,0
410.5,50,0,0
413.7,59,0,0
416.8,39,0,0
419.9,43,0,0
423.1,55,0,0
426.2,49,0,0
429.4,56,0,0
432.5,61,0,0
435.6,50,0,0
438.8,53,0,0
441.9,49,0,0
445.1,45,0,0
448.2,54,0,0
451.3,52,0,0
454.5,55,0,0
457.6,62,0,0
460.8,35,0,0
463.9,63,0,0
467,65,0,0
470.2,73,0,0
473.3,86,0,0
476.5,96,0,0
479.6,95,0,0
482.7,112,0,0
485.9,123,0,0
489,136,0,0
492.2,143,0,0
495.3,162,0,0
498.4,173,0,0
501.6,173,0,0
504.7,189,0,0
507.9,189,0,0
511,192,0,0
514.1,232,0,0
517.3,187,0,0
520.4,197,0,0
523.6,223,0,0
526.7,217,0,0
529.8,164,0,0
533,173,0,0
536.1,142,0,0
539.3,124,0,0
542.4,120,0,0
545.5,94,0,0
548.7,91,0,0
551.8,66,0,0
555,61,0,0
558.1,53,0,0
561.2,45,0,0
564.4,40,0,0
567.5,32,0,0
570.7,30,0,0
573.8,37,0,0
576.9,24,0,0
580.1,29,0,0
583.2,23,0,0
586.4,25,0,0
589.5,20,0,0
592.6,31,0,0
595.8,26,0,0
598.9,22,0,0
602.1,25,0,0
605.2,29,0,0
608.3,25,0,0
611.5,24,0,0
614.6,30,0,0
617.8,22,0,0
620.9,29,0,0
624,26,0,0
627.2,41,0,0
630.3,21,0,0
633.5,26,0,0
636.6,22,0,0
639.7,27,0,0
642.9,32,0,0
646,30,0,0
649.2,34,0,0
652.3,37,0,0
655.4,31,0,0
658.6,34,0,0
661.7,37,0,0
664.9,34,0,0
668,33,0,0
671.1,33,0,0
674.3,29,0,0
677.4,25,0,0
680.6,24,0,0
683.7,31,0,0
686.8,34,0,0
690,16,0,0
693.1,22,0,0
696.3,23,0,0
699.4,24,0,0
702.5,26,0,0
705.7,30,0,0
708.8,25,0,0
712,25,0,0
715.1,23,0,0
718.2,15,0,0
721.4,16,0,0
724.5,21,0,0
727.7,21,0,0
730.8,13,0,0
733.9,19,0,0
737.1,23,0,0
740.2,14,0,0
743.4,29,0,0
746.5,25,0,0
749.6,19,0,0
752.8,18,0,0
755.9,21,0,0
759.1,22,0,0
762.2,17,0,0
765.3,18,0,0
768.5,20,0,0
771.6,19,0,0
774.8,25,0,0
777.9,25,0,0
781,15,0,0
784.2,26,0,0
787.3,13,0,0
